category,metric,value
hazard,hours_T2_ge_26C,91.0
hazard,degree_hours_T2_gt_26C,139.4272
hazard,hours_apparent_ge_26C,118.0
hazard,degree_hours_apparent_gt_26C,217.54397242955918
hazard,hours_T2_ge_28C,25.0
hazard,degree_hours_T2_gt_28C,26.024699999999996
hazard,hours_apparent_ge_28C,41.0
hazard,degree_hours_apparent_gt_28C,76.33085171689129
hazard,hours_T2_ge_30C,2.0
hazard,degree_hours_T2_gt_30C,0.5475999999999992
hazard,hours_apparent_ge_30C,18.0
hazard,degree_hours_apparent_gt_30C,19.483368268431754
hazard,hours_T2_ge_32C,0.0
hazard,degree_hours_T2_gt_32C,0.0
hazard,hours_apparent_ge_32C,1.0
hazard,degree_hours_apparent_gt_32C,0.3793359586478644
hazard,hours_T2_ge_35C,0.0
hazard,degree_hours_T2_gt_35C,0.0
hazard,hours_apparent_ge_35C,0.0
hazard,degree_hours_apparent_gt_35C,0.0
hazard,max_T2_C,30.4038
hazard,mean_T2_C,11.91451872723133
hazard,min_T2_C,-5.2429
hazard,max_apparent_temp_C,32.379335958647864
hazard,mean_apparent_temp_C,10.955092678386265
hazard,max_heat_index_C_valid_warm_hours,30.57223621927257
hazard,days_T2_max_ge_28C,8.0
hazard,days_T2_max_ge_30C,1.0
hazard,tropical_nights_T2_min_ge_20C,2.0
flux,annual_mean_QN_Wm2,44.75999263433516
flux,annual_mean_QF_Wm2,84.52148773907105
flux,annual_mean_QS_Wm2,12.93696137295082
flux,annual_mean_QH_Wm2,88.75956756602915
flux,annual_mean_QE_Wm2,27.584951969489982
flux,bowen_QH_over_QE,3.217680700122322
flux,rain_total_mm,821.0
flux,evap_total_mm,352.177
flux,runoff_total_mm,573.9413999999999
hazard_score_component,intensity_T2max_26_to_35,0.48931111111111114
hazard_score_component,duration_degree_hours_T2_gt_28_cap1000,0.026024699999999994
hazard_score_component,night_heat_tropical_nights_cap30,0.06666666666666667
hazard_score_component,humid_apparent_max_26_to_35,0.7088151065164294
hazard_score,demo_hazard_index_0_1,0.3227043960735518
