time,T2_simulated_C,Tair_meteorological_C
2012-01-01 01:00:00,12.4724,11.77
2012-01-01 02:00:00,12.4661,11.87
2012-01-01 03:00:00,12.3698,11.62
2012-01-01 04:00:00,12.1918,11.5
2012-01-01 05:00:00,12.1335,11.48
2012-01-01 06:00:00,12.1884,11.46
2012-01-01 07:00:00,12.2481,11.23
2012-01-01 08:00:00,12.2111,11.04
2012-01-01 09:00:00,12.0475,10.82
2012-01-01 10:00:00,12.0278,10.9
2012-01-01 11:00:00,12.3706,11.32
2012-01-01 12:00:00,12.5944,11.4
2012-01-01 13:00:00,12.5529,11.35
2012-01-01 14:00:00,12.3681,11.32
2012-01-01 15:00:00,11.4829,10.77
2012-01-01 16:00:00,11.0643,10.32
2012-01-01 17:00:00,10.7041,9.89
2012-01-01 18:00:00,10.6322,9.84
2012-01-01 19:00:00,10.5914,9.78
2012-01-01 20:00:00,10.403,9.55
2012-01-01 21:00:00,10.1767,9.28
2012-01-01 22:00:00,9.8257,8.84
2012-01-01 23:00:00,9.2738,8.32
2012-01-02 00:00:00,8.6368,7.67
2012-01-02 01:00:00,7.9542,7.12
2012-01-02 02:00:00,7.4812,6.79
2012-01-02 03:00:00,7.0892,6.38
2012-01-02 04:00:00,6.6531,5.91
2012-01-02 05:00:00,6.2826,5.58
2012-01-02 06:00:00,6.035,5.27
2012-01-02 07:00:00,5.9997,5.12
2012-01-02 08:00:00,5.9621,4.85
2012-01-02 09:00:00,5.684,4.46
2012-01-02 10:00:00,5.5427,4.32
2012-01-02 11:00:00,5.8222,4.71
2012-01-02 12:00:00,6.3365,5.23
2012-01-02 13:00:00,6.5179,5.05
2012-01-02 14:00:00,6.3983,5.03
2012-01-02 15:00:00,6.5455,5.47
2012-01-02 16:00:00,6.7641,5.67
2012-01-02 17:00:00,6.3881,4.96
2012-01-02 18:00:00,5.8419,4.75
2012-01-02 19:00:00,5.6193,4.7
2012-01-02 20:00:00,5.4846,4.64
2012-01-02 21:00:00,5.4118,4.63
2012-01-02 22:00:00,5.506,4.84
2012-01-02 23:00:00,5.8684,5.4
2012-01-03 00:00:00,6.3099,5.97
2012-01-03 01:00:00,6.47,6.49
2012-01-03 02:00:00,6.9847,7.15
2012-01-03 03:00:00,7.5883,7.96
2012-01-03 04:00:00,8.0551,8.45
2012-01-03 05:00:00,8.4746,8.84
2012-01-03 06:00:00,9.3168,9.75
2012-01-03 07:00:00,10.2875,10.6
2012-01-03 08:00:00,10.8714,10.85
2012-01-03 09:00:00,10.9807,11.04
2012-01-03 10:00:00,11.216,11.25
2012-01-03 11:00:00,11.3145,11.57
2012-01-03 12:00:00,11.4719,11.57
