time,Ts_skin_C,Tsurf_bulk_C
2012-01-01 01:00:00,14.2454,11.772
2012-01-01 02:00:00,14.0779,11.8244
2012-01-01 03:00:00,13.9377,11.7346
2012-01-01 04:00:00,13.7425,11.555
2012-01-01 05:00:00,13.6825,11.4892
2012-01-01 06:00:00,14.0008,11.4692
2012-01-01 07:00:00,14.8985,11.3355
2012-01-01 08:00:00,15.7594,11.1587
2012-01-01 09:00:00,16.3154,11.1916
2012-01-01 10:00:00,16.4112,11.6312
2012-01-01 11:00:00,16.4346,12.3188
2012-01-01 12:00:00,16.3586,12.4138
2012-01-01 13:00:00,16.2272,12.0926
2012-01-01 14:00:00,15.7297,11.7881
2012-01-01 15:00:00,12.7283,11.1438
2012-01-01 16:00:00,12.9593,10.5613
2012-01-01 17:00:00,13.0524,10.0913
2012-01-01 18:00:00,13.5856,9.863
2012-01-01 19:00:00,13.2431,9.8075
2012-01-01 20:00:00,12.6961,9.6554
2012-01-01 21:00:00,12.4997,9.4037
2012-01-01 22:00:00,12.0612,9.0417
2012-01-01 23:00:00,11.0861,8.5583
2012-01-02 00:00:00,10.3698,7.9679
2012-01-02 01:00:00,9.4906,7.3721
2012-01-02 02:00:00,8.8416,6.9413
2012-01-02 03:00:00,8.3544,6.5679
2012-01-02 04:00:00,8.0495,6.1254
2012-01-02 05:00:00,7.9598,5.7312
2012-01-02 06:00:00,8.3333,5.4121
2012-01-02 07:00:00,9.2895,5.1888
2012-01-02 08:00:00,10.0496,5.0257
2012-01-02 09:00:00,10.0336,5.1274
2012-01-02 10:00:00,9.839,5.9538
2012-01-02 11:00:00,10.5901,7.2367
2012-01-02 12:00:00,11.743,8.4215
2012-01-02 13:00:00,11.6361,8.5884
2012-01-02 14:00:00,10.8784,7.891
2012-01-02 15:00:00,10.6633,7.0575
2012-01-02 16:00:00,10.658,6.1705
2012-01-02 17:00:00,10.0245,5.3444
2012-01-02 18:00:00,9.1406,4.8468
2012-01-02 19:00:00,8.3634,4.7229
2012-01-02 20:00:00,7.8158,4.6675
2012-01-02 21:00:00,7.5661,4.6346
2012-01-02 22:00:00,7.5953,4.7437
2012-01-02 23:00:00,7.838,5.1433
2012-01-03 00:00:00,7.8404,5.7087
2012-01-03 01:00:00,6.8923,6.2517
2012-01-03 02:00:00,7.2405,6.8477
2012-01-03 03:00:00,7.5864,7.5915
2012-01-03 04:00:00,7.7279,8.2365
2012-01-03 05:00:00,8.0983,8.6734
2012-01-03 06:00:00,9.284,9.3441
2012-01-03 07:00:00,10.4608,10.212
2012-01-03 08:00:00,11.1831,10.7464
2012-01-03 09:00:00,11.0441,11.0302
2012-01-03 10:00:00,11.3594,11.324
2012-01-03 11:00:00,11.0721,11.7678
2012-01-03 12:00:00,11.2538,11.9301
2012-01-03 13:00:00,9.297,9.8522
2012-01-03 14:00:00,9.4484,9.172
2012-01-03 15:00:00,10.3595,9.0258
2012-01-03 16:00:00,10.0147,7.9934
2012-01-03 17:00:00,8.9657,6.5846
2012-01-03 18:00:00,7.8118,5.8442
2012-01-03 19:00:00,7.1788,5.6608
2012-01-03 20:00:00,6.8106,5.4029
2012-01-03 21:00:00,6.4512,5.1508
2012-01-03 22:00:00,6.1221,4.7737
2012-01-03 23:00:00,5.6474,4.5508
2012-01-04 00:00:00,5.316,4.69
2012-01-04 01:00:00,5.0673,4.8433
2012-01-04 02:00:00,4.8788,4.9125
2012-01-04 03:00:00,4.6902,4.8588
2012-01-04 04:00:00,4.4469,4.6221
2012-01-04 05:00:00,4.1504,4.1767
2012-01-04 06:00:00,4.4412,3.9092
2012-01-04 07:00:00,5.5827,3.9129
2012-01-04 08:00:00,6.9261,4.1096
2012-01-04 09:00:00,7.6993,4.7262
2012-01-04 10:00:00,8.3598,5.9854
2012-01-04 11:00:00,8.7245,6.8438
2012-01-04 12:00:00,9.2104,7.697
2012-01-04 13:00:00,9.5212,7.6918
2012-01-04 14:00:00,9.6916,7.219
2012-01-04 15:00:00,10.1671,7.1454
2012-01-04 16:00:00,10.1255,6.9909
2012-01-04 17:00:00,10.0235,6.9646
2012-01-04 18:00:00,9.4358,7.1355
2012-01-04 19:00:00,8.2716,7.4142
2012-01-04 20:00:00,7.4506,7.5293
2012-01-04 21:00:00,7.9369,7.6437
2012-01-04 22:00:00,7.972,7.8181
2012-01-04 23:00:00,8.06,8.064
2012-01-05 00:00:00,8.36,8.4741
2012-01-05 01:00:00,8.231,8.875
2012-01-05 02:00:00,8.2101,9.2404
